T Score,Z Score,16-19,20-29,30-44,45-59,60-69
5,-4.5,"[0,1,2,3,4,5,6,7]","[0,1,2,3,4,5,6,7]","[0,1,2,3,4,5,6,7]","[0,1,2,3,4,5]","[0,1,2]"
6,-4.4,"[8,9,10]","[8,9,10]","[8,9,10]",6,3
7,-4.3,11,11,11,7,4
8,-4.2,"[12,13]","[12,13]","[12,13]",8,5
9,-4.1,14,14,14,"[9,10]",6
10,-4,"[15,16]","[15,16]","[15,16]",11,7
11,-3.9,17,17,17,12,8
12,-3.8,18,18,18,13,9
13,-3.7,19,19,19,14,10
14,-3.6,"[20,21]","[20,21]","[20,21]",15,11
15,-3.5,22,22,22,16,12
16,-3.4,23,23,23,17,13
17,-3.3,24,24,24,18,14
18,-3.2,25,25,25,19,15
19,-3.1,26,26,26,20,16
20,-3,27,27,27,21,17
21,-2.9,28,28,28,22,
22,-2.8,29,29,29,23,18
23,-2.7,30,30,30,24,19
24,-2.6,31,31,31,25,20
25,-2.5,32,32,32,26,21
26,-2.4,,,,27,22
27,-2.3,33,33,33,28,23
28,-2.2,34,34,34,29,24
29,-2.1,35,35,35,30,25
30,-2,36,36,36,31,26
31,-1.9,37,37,37,32,27
32,-1.8,38,38,38,33,28
33,-1.7,39,39,39,34,29
34,-1.6,40,40,40,35,30
35,-1.5,41,41,41,36,31
36,-1.4,42,42,42,37,32
37,-1.3,43,43,43,38,33
38,-1.2,44,44,44,39,34
39,-1.1,,,,40,35
40,-1,45,45,45,41,36
41,-0.9,46,46,46,,37
42,-0.8,47,47,47,42,38
43,-0.7,48,48,48,43,39
44,-0.6,49,49,49,44,40
45,-0.5,50,50,50,45,41
46,-0.4,51,51,51,46,42
47,-0.3,52,52,52,47,43
48,-0.2,53,53,53,48,44
49,-0.1,54,54,54,49,45
50,0,55,55,55,,46
51,0.1,56,56,56,50,47
52,0.2,57,,,51,48
53,0.3,,57,57,,49
54,0.4,58,58,58,52,50
55,0.5,59,59,59,53,51
56,0.6,60,60,60,54,52
57,0.7,61,61,61,55,53
58,0.8,,,,56,54
59,0.9,62,62,62,,55
60,1,"[63,64]",63,63,57,56
61,1.1,65,64,64,58,57
62,1.2,,,,59,58
63,1.3,66,65,65,60,59
64,1.4,67,66,66,61,60
65,1.5,68,67,67,62,61
66,1.6,69,68,68,63,"[62,63]"
67,1.7,,,,64,64
68,1.8,70,69,69,65,65
69,1.9,71,70,,66,
70,2,,,70,67,66
71,2.1,72,71,71,68,67
72,2.2,73,,,69,68
73,2.3,,72,72,70,69
74,2.4,74,,,,70
75,2.5,,73,73,71,
76,2.6,75,,,72,71
77,2.7,,74,,73,72
78,2.8,76,75,74,,73
79,2.9,77,,,74,74
80,3,,76,75,75,75
81,3.1,78,77,76,,
82,3.2,,,,76,76
83,3.3,79,78,77,,
84,3.4,80,,,77,77
85,3.5,,79,78,,
86,3.6,,,,78,78
87,3.7,,80,,,
88,3.8,,,79,,
89,3.9,,,,79,79
90,4,,,80,,
91,4.1,,,,80,80
92,4.2,,,,,
93,4.3,,,,,
94,4.4,,,,,
95,4.5,,,,,
